code,dataset,field,code_type,description,group,subgroup,flag
C39,hes_apc,diag,icd10,malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,cancer/blood,neoplasms,
C40,hes_apc,diag,icd10,malignant neoplasm of bone and articular cartilage of limbs,cancer/blood,neoplasms,
C41,hes_apc,diag,icd10,malignant neoplasm of bone and articular cartilage of other and unspecified sites,cancer/blood,neoplasms,
C43,hes_apc,diag,icd10,malignant melanoma of skin,cancer/blood,neoplasms,
C44,hes_apc,diag,icd10,other malignant neoplasms of skin,cancer/blood,neoplasms,
C45,hes_apc,diag,icd10,mesothelioma,cancer/blood,neoplasms,
C46,hes_apc,diag,icd10,kaposi sarcoma,cancer/blood,neoplasms,
C47,hes_apc,diag,icd10,malignant neoplasm of peripheral nerves and autonomic nervous system,cancer/blood,neoplasms,
C48,hes_apc,diag,icd10,malignant neoplasm of retroperitoneum and peritoneum,cancer/blood,neoplasms,
C49,hes_apc,diag,icd10,malignant neoplasm of other connective and soft tissue,cancer/blood,neoplasms,
C50,hes_apc,diag,icd10,malignant neoplasm of breast,cancer/blood,neoplasms,
C51,hes_apc,diag,icd10,malignant neoplasm of vulva,cancer/blood,neoplasms,
C52,hes_apc,diag,icd10,malignant neoplasm of vagina,cancer/blood,neoplasms,
C53,hes_apc,diag,icd10,malignant neoplasm of cervix uteri,cancer/blood,neoplasms,
C54,hes_apc,diag,icd10,malignant neoplasm of corpus uteri,cancer/blood,neoplasms,
C55,hes_apc,diag,icd10,malignant neoplasm of uterus part unspecified,cancer/blood,neoplasms,
C56,hes_apc,diag,icd10,malignant neoplasm of ovary,cancer/blood,neoplasms,
C57,hes_apc,diag,icd10,malignant neoplasm of other and unspecified female genital organs,cancer/blood,neoplasms,
C58,hes_apc,diag,icd10,malignant neoplasm of placenta,cancer/blood,neoplasms,
C60,hes_apc,diag,icd10,malignant neoplasm of penis,cancer/blood,neoplasms,
C61,hes_apc,diag,icd10,malignant neoplasm of prostate,cancer/blood,neoplasms,
C62,hes_apc,diag,icd10,malignant neoplasm of testis,cancer/blood,neoplasms,
C63,hes_apc,diag,icd10,malignant neoplasm of other and unspecified male genital organs,cancer/blood,neoplasms,
C64,hes_apc,diag,icd10,malignant neoplasm of kidney except renal pelvis,cancer/blood,neoplasms,
C65,hes_apc,diag,icd10,malignant neoplasm of renal pelvis,cancer/blood,neoplasms,
C66,hes_apc,diag,icd10,malignant neoplasm of ureter,cancer/blood,neoplasms,
C67,hes_apc,diag,icd10,malignant neoplasm of bladder,cancer/blood,neoplasms,
C68,hes_apc,diag,icd10,malignant neoplasm of other and unspecified urinary organs,cancer/blood,neoplasms,
C69,hes_apc,diag,icd10,malignant neoplasm of eye and adnexa,cancer/blood,neoplasms,
C70,hes_apc,diag,icd10,malignant neoplasm of meninges,cancer/blood,neoplasms,
C71,hes_apc,diag,icd10,malignant neoplasm of brain,cancer/blood,neoplasms,
C72,hes_apc,diag,icd10,malignant neoplasm of spinal cord cranial nerves and other parts of central nervous system,cancer/blood,neoplasms,
C73,hes_apc,diag,icd10,malignant neoplasm of thyroid gland,cancer/blood,neoplasms,
C74,hes_apc,diag,icd10,malignant neoplasm of adrenal gland,cancer/blood,neoplasms,
C75,hes_apc,diag,icd10,malignant neoplasm of other endocrine glands and related structures,cancer/blood,neoplasms,
C76,hes_apc,diag,icd10,malignant neoplasm of other and ill-defined sites,cancer/blood,neoplasms,
C77,hes_apc,diag,icd10,secondary and unspecified malignant neoplasm of lymph nodes,cancer/blood,neoplasms,
C78,hes_apc,diag,icd10,secondary malignant neoplasm of respiratory and digestive organs,cancer/blood,neoplasms,
C79,hes_apc,diag,icd10,secondary malignant neoplasm of other and unspecified sites,cancer/blood,neoplasms,
C80,hes_apc,diag,icd10,malignant neoplasm without specification of site,cancer/blood,neoplasms,
C81,hes_apc,diag,icd10,hodgkin lymphoma,cancer/blood,neoplasms,
C82,hes_apc,diag,icd10,follicular lymphoma,cancer/blood,neoplasms,
C83,hes_apc,diag,icd10,non-follicular lymphoma,cancer/blood,neoplasms,
C84,hes_apc,diag,icd10,mature t/nk-cell lymphomas,cancer/blood,neoplasms,
C85,hes_apc,diag,icd10,other and unspecified types of non-hodgkin lymphoma,cancer/blood,neoplasms,
C86,hes_apc,diag,icd10,other specified types of t/nk-cell lymphoma,cancer/blood,neoplasms,
C88,hes_apc,diag,icd10,malignant immunoproliferative diseases,cancer/blood,neoplasms,
C90,hes_apc,diag,icd10,multiple myeloma and malignant plasma cell neoplasms,cancer/blood,neoplasms,
C91,hes_apc,diag,icd10,lymphoid leukaemia,cancer/blood,neoplasms,
C92,hes_apc,diag,icd10,myeloid leukaemia,cancer/blood,neoplasms,
C93,hes_apc,diag,icd10,monocytic leukaemia,cancer/blood,neoplasms,
C94,hes_apc,diag,icd10,other leukaemias of specified cell type,cancer/blood,neoplasms,
C95,hes_apc,diag,icd10,leukaemia of unspecified cell type,cancer/blood,neoplasms,
C96,hes_apc,diag,icd10,other and unspecified malignant neoplasms of lymphoid haematopoietic and related tissue,cancer/blood,neoplasms,
C97,hes_apc,diag,icd10,malignant neoplasms of independent (primary) multiple sites,cancer/blood,neoplasms,
D00,hes_apc,diag,icd10,carcinoma in situ of oral cavity oesophagus and stomach,cancer/blood,neoplasms,
D01,hes_apc,diag,icd10,carcinoma in situ of other and unspecified digestive organs,cancer/blood,neoplasms,
D02,hes_apc,diag,icd10,carcinoma in situ of middle ear and respiratory system,cancer/blood,neoplasms,
D05,hes_apc,diag,icd10,carcinoma in situ of breast,cancer/blood,neoplasms,
D06,hes_apc,diag,icd10,carcinoma in situ of cervix uteri,cancer/blood,neoplasms,
D07,hes_apc,diag,icd10,carcinoma in situ of other and unspecified genital organs,cancer/blood,neoplasms,
D09,hes_apc,diag,icd10,carcinoma in situ of other and unspecified sites,cancer/blood,neoplasms,
D12,hes_apc,diag,icd10,benign neoplasm of colon rectum anus and anal canal,cancer/blood,neoplasms,
D13,hes_apc,diag,icd10,benign neoplasm of other and ill-defined parts of digestive system,cancer/blood,neoplasms,
D14.1,hes_apc,diag,icd10,benign neoplasm: larynx,cancer/blood,neoplasms,
D14.2,hes_apc,diag,icd10,benign neoplasm: trachea,cancer/blood,neoplasms,
D14.3,hes_apc,diag,icd10,benign neoplasm: bronchus and lung,cancer/blood,neoplasms,
D14.4,hes_apc,diag,icd10,benign neoplasm: respiratory system unspecified,cancer/blood,neoplasms,
D15,hes_apc,diag,icd10,benign neoplasm of other and unspecified intrathoracic organs,cancer/blood,neoplasms,
D20,hes_apc,diag,icd10,benign neoplasm of soft tissue of retroperitoneum and peritoneum,cancer/blood,neoplasms,
D32,hes_apc,diag,icd10,benign neoplasm of meninges,cancer/blood,neoplasms,
D33,hes_apc,diag,icd10,benign neoplasm of brain and other parts of central nervous system,cancer/blood,neoplasms,
D34,hes_apc,diag,icd10,benign neoplasm of thyroid gland,cancer/blood,neoplasms,
D35,hes_apc,diag,icd10,benign neoplasm of other and unspecified endocrine glands,cancer/blood,neoplasms,
D37,hes_apc,diag,icd10,neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,cancer/blood,neoplasms,
D38,hes_apc,diag,icd10,neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,cancer/blood,neoplasms,
D39,hes_apc,diag,icd10,neoplasm of uncertain or unknown behaviour of female genital organs,cancer/blood,neoplasms,
D40,hes_apc,diag,icd10,neoplasm of uncertain or unknown behaviour of male genital organs,cancer/blood,neoplasms,
D41,hes_apc,diag,icd10,neoplasm of uncertain or unknown behaviour of urinary organs,cancer/blood,neoplasms,
D42,hes_apc,diag,icd10,neoplasm of uncertain or unknown behaviour of meninges,cancer/blood,neoplasms,
D43,hes_apc,diag,icd10,neoplasm of uncertain or unknown behaviour of brain and central nervous system,cancer/blood,neoplasms,
D44,hes_apc,diag,icd10,neoplasm of uncertain or unknown behaviour of endocrine glands,cancer/blood,neoplasms,
D45,hes_apc,diag,icd10,polycythaemia vera,cancer/blood,neoplasms,
D46,hes_apc,diag,icd10,myelodysplastic syndromes,cancer/blood,neoplasms,
D47,hes_apc,diag,icd10,other neoplasms of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue,cancer/blood,neoplasms,
D48,hes_apc,diag,icd10,neoplasm of uncertain or unknown behaviour of other and unspecified sites,cancer/blood,neoplasms,
D63.0,hes_apc,diag,icd10,anaemia in neoplastic disease,cancer/blood,neoplasms,
E34.0,hes_apc,diag,icd10,carcinoid syndrome,cancer/blood,neoplasms,
E88.3,hes_apc,diag,icd10,tumour lysis syndrome,cancer/blood,neoplasms,
G13.0,hes_apc,diag,icd10,paraneoplastic neuromyopathy and neuropathy,cancer/blood,neoplasms,
G13.1,hes_apc,diag,icd10,other systemic atrophy primarily affecting central nervous system in neoplastic disease,cancer/blood,neoplasms,
G53.3,hes_apc,diag,icd10,multiple cranial nerve palsies in neoplastic disease,cancer/blood,neoplasms,
G55.0,hes_apc,diag,icd10,nerve root and plexus compressions in neoplastic disease,cancer/blood,neoplasms,
G63.1,hes_apc,diag,icd10,polyneuropathy in neoplastic disease,cancer/blood,neoplasms,
G73.1,hes_apc,diag,icd10,lambert-eaton syndrome,cancer/blood,neoplasms,
G73.2,hes_apc,diag,icd10,other myasthenic syndromes in neoplastic disease,cancer/blood,neoplasms,
G94.1,hes_apc,diag,icd10,hydrocephalus in neoplastic disease,cancer/blood,neoplasms,
M36.0,hes_apc,diag,icd10,dermato(poly)myositis in neoplastic disease,cancer/blood,neoplasms,
M36.1,hes_apc,diag,icd10,arthropathy in neoplastic disease,cancer/blood,neoplasms,
M49.5,hes_apc,diag,icd10,collapsed vertebra in diseases classified elsewhere,cancer/blood,neoplasms,
M82.0,hes_apc,diag,icd10,osteoporosis in multiple myelomatosis,cancer/blood,neoplasms,
M90.6,hes_apc,diag,icd10,osteitis deformans in neoplastic disease,cancer/blood,neoplasms,
M90.7,hes_apc,diag,icd10,fracture of bone in neoplastic disease,cancer/blood,neoplasms,
N08.1,hes_apc,diag,icd10,glomerular disorders in neoplastic diseases,cancer/blood,neoplasms,
N16.1,hes_apc,diag,icd10,renal tubulo-interstitial disorders in neoplastic diseases,cancer/blood,neoplasms,
Y43.1,hes_apc,diag,icd10,antineoplastic antimetabolites,cancer/blood,neoplasms,
Y43.2,hes_apc,diag,icd10,antineoplastic natural products,cancer/blood,neoplasms,
Y43.3,hes_apc,diag,icd10,other antineoplastic drugs,cancer/blood,neoplasms,
Y84.2,hes_apc,diag,icd10,radiological procedure and radiotherapy,cancer/blood,neoplasms,
Z08,hes_apc,diag,icd10,follow-up examination after treatment for malignant neoplasms,cancer/blood,neoplasms,
Z51.0,hes_apc,diag,icd10,radiotherapy session,cancer/blood,neoplasms,
Z51.1,hes_apc,diag,icd10,chemotherapy session for neoplasm,cancer/blood,neoplasms,
Z51.2,hes_apc,diag,icd10,other chemotherapy,cancer/blood,neoplasms,
Z54.1,hes_apc,diag,icd10,convalescence following radiotherapy,cancer/blood,neoplasms,
Z54.2,hes_apc,diag,icd10,convalescence following chemotherapy,cancer/blood,neoplasms,
Z85,hes_apc,diag,icd10,personal history of malignant neoplasm,cancer/blood,neoplasms,
Z86.0,hes_apc,diag,icd10,personal history of other neoplasms,cancer/blood,neoplasms,
Z92.3,hes_apc,diag,icd10,personal history of irradiation,cancer/blood,neoplasms,
D80,hes_apc,diag,icd10,immunodeficiency with predominantly antibody defects,cancer/blood,immunologicla disorders,
D81,hes_apc,diag,icd10,combined immunodeficiencies,cancer/blood,immunologicla disorders,
D82,hes_apc,diag,icd10,immunodeficiency associated with other major defects,cancer/blood,immunologicla disorders,
D83,hes_apc,diag,icd10,common variable immunodeficiency,cancer/blood,immunologicla disorders,
D84,hes_apc,diag,icd10,other immunodeficiencies,cancer/blood,immunologicla disorders,
G53.2,hes_apc,diag,icd10,multiple cranial nerve palsies in sarcoidosis,cancer/blood,immunologicla disorders,
Q98.0,hes_apc,diag,icd10,klinefelter syndrome karyotype 47xxy,cancer/blood,immunologicla disorders,
D50,hes_apc,diag,icd10,iron deficiency anaemia,cancer/blood,anaemia and other blood disorders,
D56.0,hes_apc,diag,icd10,alpha thalassaemia,cancer/blood,anaemia and other blood disorders,
D56.1,hes_apc,diag,icd10,beta thalassaemia,cancer/blood,anaemia and other blood disorders,
D56.2,hes_apc,diag,icd10,delta-beta thalassaemia,cancer/blood,anaemia and other blood disorders,
D56.4,hes_apc,diag,icd10,hereditary persistence of fetal haemoglobin [hpfh],cancer/blood,anaemia and other blood disorders,
D56.8,hes_apc,diag,icd10,other thalassaemias,cancer/blood,anaemia and other blood disorders,los3
D56.9,hes_apc,diag,icd10,thalassaemia unspecified,cancer/blood,anaemia and other blood disorders,
D57.0,hes_apc,diag,icd10,sickle-cell anaemia with crisis,cancer/blood,anaemia and other blood disorders,
D57.1,hes_apc,diag,icd10,sickle-cell anaemia without crisis,cancer/blood,anaemia and other blood disorders,
D57.2,hes_apc,diag,icd10,double heterozygous sickling disorders,cancer/blood,anaemia and other blood disorders,
D57.8,hes_apc,diag,icd10,other sickle-cell disorders,cancer/blood,anaemia and other blood disorders,
D58,hes_apc,diag,icd10,other hereditary haemolytic anaemias,cancer/blood,anaemia and other blood disorders,
D61.0,hes_apc,diag,icd10,constitutional aplastic anaemia,cancer/blood,anaemia and other blood disorders,
D61.9,hes_apc,diag,icd10,aplastic anaemia unspecified,cancer/blood,anaemia and other blood disorders,
D64,hes_apc,diag,icd10,other anaemias,cancer/blood,anaemia and other blood disorders,
D66,hes_apc,diag,icd10,hereditary factor viii deficiency,cancer/blood,anaemia and other blood disorders,
D67,hes_apc,diag,icd10,hereditary factor ix deficiency,cancer/blood,anaemia and other blood disorders,
D68.0,hes_apc,diag,icd10,von willebrand disease,cancer/blood,anaemia and other blood disorders,
D68.1,hes_apc,diag,icd10,hereditary factor xi deficiency,cancer/blood,anaemia and other blood disorders,
D68.2,hes_apc,diag,icd10,hereditary deficiency of other clotting factors,cancer/blood,anaemia and other blood disorders,los3
D68.4,hes_apc,diag,icd10,acquired coagulation factor deficiency,cancer/blood,anaemia and other blood disorders,
D68.5,hes_apc,diag,icd10,primary thrombophilia,cancer/blood,anaemia and other blood disorders,
D68.6,hes_apc,diag,icd10,other thrombophilia,cancer/blood,anaemia and other blood disorders,
D68.8,hes_apc,diag,icd10,other specified coagulation defects,cancer/blood,anaemia and other blood disorders,
D68.9,hes_apc,diag,icd10,coagulation defect unspecified,cancer/blood,anaemia and other blood disorders,
D69,hes_apc,diag,icd10,purpura and other haemorrhagic conditions,cancer/blood,anaemia and other blood disorders,
D70,hes_apc,diag,icd10,agranulocytosis,cancer/blood,anaemia and other blood disorders,
D71,hes_apc,diag,icd10,functional disorders of polymorphonuclear neutrophils,cancer/blood,anaemia and other blood disorders,
D72,hes_apc,diag,icd10,other disorders of white blood cells,cancer/blood,anaemia and other blood disorders,
D73,hes_apc,diag,icd10,diseases of spleen,cancer/blood,anaemia and other blood disorders,
D74,hes_apc,diag,icd10,methaemoglobinaemia,cancer/blood,anaemia and other blood disorders,
D75,hes_apc,diag,icd10,other diseases of blood and blood-forming organs,cancer/blood,anaemia and other blood disorders,
D76,hes_apc,diag,icd10,other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,cancer/blood,anaemia and other blood disorders,
M36.2,hes_apc,diag,icd10,haemophilic arthropathy,cancer/blood,anaemia and other blood disorders,
M36.3,hes_apc,diag,icd10,arthropathy in other blood disorders,cancer/blood,anaemia and other blood disorders,
M36.4,hes_apc,diag,icd10,arthropathy in hypersensitivity reactions classified elsewhere,cancer/blood,anaemia and other blood disorders,
M90.4,hes_apc,diag,icd10,osteonecrosis due to haemoglobinopathy,cancer/blood,anaemia and other blood disorders,
N08.2,hes_apc,diag,icd10,glomerular disorders in blood diseases and disorders involving the immune mechanism,cancer/blood,anaemia and other blood disorders,
Z86.2,hes_apc,diag,icd10,personal history of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,cancer/blood,anaemia and other blood disorders,
B20,hes_apc,diag,icd10,human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases,chronic infections,hiv,
B21,hes_apc,diag,icd10,human immunodeficiency virus [hiv] disease resulting in malignant neoplasms,chronic infections,hiv,
B22,hes_apc,diag,icd10,human immunodeficiency virus [hiv] disease resulting in other specified diseases,chronic infections,hiv,
B23,hes_apc,diag,icd10,human immunodeficiency virus [hiv] disease resulting in other conditions,chronic infections,hiv,
B24,hes_apc,diag,icd10,unspecified human immunodeficiency virus [hiv] disease,chronic infections,hiv,
F02.4,hes_apc,diag,icd10,dementia in human immunodeficiency virus [hiv] disease,chronic infections,hiv,
R75,hes_apc,diag,icd10,laboratory evidence of human immunodeficiency virus [hiv],chronic infections,hiv,
Z21,hes_apc,diag,icd10,asymptomatic human immunodeficiency virus [hiv] infection status,chronic infections,hiv,
A15,hes_apc,diag,icd10,respiratory tuberculosis bacteriologically and histologically confirmed,chronic infections,tuberculosis,
A16,hes_apc,diag,icd10,respiratory tuberculosis not confirmed bacteriologically or histologically,chronic infections,tuberculosis,
A17,hes_apc,diag,icd10,tuberculosis of nervous system,chronic infections,tuberculosis,
A18,hes_apc,diag,icd10,tuberculosis of other organs,chronic infections,tuberculosis,
A19,hes_apc,diag,icd10,miliary tuberculosis,chronic infections,tuberculosis,
E35.0,hes_apc,diag,icd10,disorders of thyroid gland in diseases classified elsewhere,chronic infections,tuberculosis,
K23.0,hes_apc,diag,icd10,tuberculous oesophagitis,chronic infections,tuberculosis,
K67.3,hes_apc,diag,icd10,tuberculous peritonitis,chronic infections,tuberculosis,
K93.0,hes_apc,diag,icd10,tuberculous disorders of intestines peritoneum and mesenteric glands,chronic infections,tuberculosis,
M01.1,hes_apc,diag,icd10,tuberculous arthritis,chronic infections,tuberculosis,
M49.0,hes_apc,diag,icd10,tuberculosis of spine,chronic infections,tuberculosis,
P37.0,hes_apc,diag,icd10,congenital tuberculosis,chronic infections,tuberculosis,
A50,hes_apc,diag,icd10,congenital syphilis,chronic infections,other [chronic infections],
A81,hes_apc,diag,icd10,atypical virus infections of central nervous system,chronic infections,other [chronic infections],
B18,hes_apc,diag,icd10,chronic viral hepatitis,chronic infections,other [chronic infections],
B37.1,hes_apc,diag,icd10,pulmonary candidiasis,chronic infections,other [chronic infections],
B37.5,hes_apc,diag,icd10,candidal meningitis,chronic infections,other [chronic infections],
B37.6,hes_apc,diag,icd10,candidal endocarditis,chronic infections,other [chronic infections],
B37.7,hes_apc,diag,icd10,candidal sepsis,chronic infections,other [chronic infections],
B38.1,hes_apc,diag,icd10,chronic pulmonary coccidioidomycosis,chronic infections,other [chronic infections],
B39.1,hes_apc,diag,icd10,chronic pulmonary histoplasmosis capsulati,chronic infections,other [chronic infections],
B40.1,hes_apc,diag,icd10,chronic pulmonary blastomycosis,chronic infections,other [chronic infections],
B44.0,hes_apc,diag,icd10,invasive pulmonary aspergillosis,chronic infections,other [chronic infections],
B44.7,hes_apc,diag,icd10,disseminated aspergillosis,chronic infections,other [chronic infections],
B45,hes_apc,diag,icd10,cryptococcosis,chronic infections,other [chronic infections],
B46,hes_apc,diag,icd10,zygomycosis,chronic infections,other [chronic infections],
B48.7,hes_apc,diag,icd10,opportunistic mycoses,chronic infections,other [chronic infections],
B50.0,hes_apc,diag,icd10,plasmodium falciparum malaria with cerebral complications,chronic infections,other [chronic infections],
B50.8,hes_apc,diag,icd10,other severe and complicated plasmodium falciparum malaria,chronic infections,other [chronic infections],
B51.0,hes_apc,diag,icd10,plasmodium vivax malaria with rupture of spleen,chronic infections,other [chronic infections],
B51.8,hes_apc,diag,icd10,plasmodium vivax malaria with other complications,chronic infections,other [chronic infections],
B52.8,hes_apc,diag,icd10,plasmodium malariae malaria with other complications,chronic infections,other [chronic infections],
B52.0,hes_apc,diag,icd10,plasmodium malariae malaria with nephropathy,chronic infections,other [chronic infections],
B55,hes_apc,diag,icd10,leishmaniasis,chronic infections,other [chronic infections],los3
B57.2,hes_apc,diag,icd10,chagas disease (chronic) with heart involvement,chronic infections,other [chronic infections],
B57.3,hes_apc,diag,icd10,chagas disease (chronic) with digestive system involvement,chronic infections,other [chronic infections],los3
B57.4,hes_apc,diag,icd10,chagas disease (chronic) with nervous system involvement,chronic infections,other [chronic infections],los3
B57.5,hes_apc,diag,icd10,chagas disease (chronic) with other organ involvement,chronic infections,other [chronic infections],
B58.0,hes_apc,diag,icd10,toxoplasma oculopathy,chronic infections,other [chronic infections],
B59,hes_apc,diag,icd10,pneumocystosis,chronic infections,other [chronic infections],
B67,hes_apc,diag,icd10,echinococcosis,chronic infections,other [chronic infections],
B69,hes_apc,diag,icd10,cysticercosis,chronic infections,other [chronic infections],
B73,hes_apc,diag,icd10,onchocerciasis,chronic infections,other [chronic infections],
B74,hes_apc,diag,icd10,filariasis,chronic infections,other [chronic infections],
B78.7,hes_apc,diag,icd10,disseminated strongyloidiasis,chronic infections,other [chronic infections],
B90,hes_apc,diag,icd10,sequelae of tuberculosis,chronic infections,other [chronic infections],
B91,hes_apc,diag,icd10,sequelae of poliomyelitis,chronic infections,other [chronic infections],
B92,hes_apc,diag,icd10,sequelae of leprosy,chronic infections,other [chronic infections],
B94,hes_apc,diag,icd10,sequelae of other and unspecified infectious and parasitic diseases,chronic infections,other [chronic infections],
F02.1,hes_apc,diag,icd10,dementia in creutzfeldt-jakob disease,chronic infections,other [chronic infections],
K23.1,hes_apc,diag,icd10,megaoesophagus in chagas disease,chronic infections,other [chronic infections],
K93.1,hes_apc,diag,icd10,megacolon in chagas disease,chronic infections,other [chronic infections],
M00,hes_apc,diag,icd10,pyogenic arthritis,chronic infections,other [chronic infections],
N33.0,hes_apc,diag,icd10,tuberculous cystitis,chronic infections,other [chronic infections],
P35.0,hes_apc,diag,icd10,congenital rubella syndrome,chronic infections,other [chronic infections],
P35.1,hes_apc,diag,icd10,congenital cytomegalovirus infection,chronic infections,other [chronic infections],
P35.2,hes_apc,diag,icd10,congenital herpesviral [herpes simplex] infection,chronic infections,other [chronic infections],
P35.8,hes_apc,diag,icd10,other congenital viral diseases,chronic infections,other [chronic infections],
P35.9,hes_apc,diag,icd10,congenital viral disease unspecified,chronic infections,other [chronic infections],
P37.1,hes_apc,diag,icd10,congenital toxoplasmosis,chronic infections,other [chronic infections],
J41,hes_apc,diag,icd10,simple and mucopurulent chronic bronchitis,respiratory,asthma and chronic lower respiratory disease,
J42,hes_apc,diag,icd10,unspecified chronic bronchitis,respiratory,asthma and chronic lower respiratory disease,
J43,hes_apc,diag,icd10,emphysema,respiratory,asthma and chronic lower respiratory disease,
J44,hes_apc,diag,icd10,other chronic obstructive pulmonary disease,respiratory,asthma and chronic lower respiratory disease,
J45,hes_apc,diag,icd10,asthma,respiratory,asthma and chronic lower respiratory disease,
J46,hes_apc,diag,icd10,status asthmaticus,respiratory,asthma and chronic lower respiratory disease,
J47,hes_apc,diag,icd10,bronchiectasis,respiratory,asthma and chronic lower respiratory disease,
E84,hes_apc,diag,icd10,cystic fibrosis,respiratory,cystic fibrosis,
P75,hes_apc,diag,icd10,meconium ileus in cystic fibrosis,respiratory,cystic fibrosis,
T91.4,hes_apc,diag,icd10,sequelae of injury of intrathoracic organs,respiratory,injuries,
Q30,hes_apc,diag,icd10,congenital malformations of nose,respiratory,congenital anomalies,los3
Q31,hes_apc,diag,icd10,congenital malformations of larynx,respiratory,congenital anomalies,los3
Q32,hes_apc,diag,icd10,congenital malformations of trachea and bronchus,respiratory,congenital anomalies,los3
Q33,hes_apc,diag,icd10,congenital malformations of lung,respiratory,congenital anomalies,los3
Q34,hes_apc,diag,icd10,other congenital malformations of respiratory system,respiratory,congenital anomalies,los3
Q35,hes_apc,diag,icd10,cleft palate,respiratory,congenital anomalies,
Q36,hes_apc,diag,icd10,cleft lip,respiratory,congenital anomalies,
Q37,hes_apc,diag,icd10,cleft palate with cleft lip,respiratory,congenital anomalies,
Q79.0,hes_apc,diag,icd10,congenital diaphragmatic hernia,respiratory,congenital anomalies,
G47.3,hes_apc,diag,icd10,sleep apnoea,respiratory,other [respiratory],
J60,hes_apc,diag,icd10,coalworker pneumoconiosis,respiratory,other [respiratory],
J61,hes_apc,diag,icd10,pneumoconiosis due to asbestos and other mineral fibres,respiratory,other [respiratory],
J62,hes_apc,diag,icd10,pneumoconiosis due to dust containing silica,respiratory,other [respiratory],
J63,hes_apc,diag,icd10,pneumoconiosis due to other inorganic dusts,respiratory,other [respiratory],
J64,hes_apc,diag,icd10,unspecified pneumoconiosis,respiratory,other [respiratory],
